Name,ID,Lat,Lon,Elevelation,nyear,SimpleScaling_pvalue,GeneralScaling_pvalue
MONTREAL JAR BOT,7025257,45.57,-73.55,,13,NaN,NaN
MONTREAL JEAN BREBEUF,7025260,45.5,-73.62,,16,0.026,0.877
MONTREAL LAFONTAINE,7025267,45.52,-73.57,,15,0.006,0.481
MONTREAL MCGILL,7025280,45.5,-73.58,,31,0.001,0.247
NICOLET,7025440,46.2,-72.62,,14,NaN,NaN
ORMSTOWN,7025745,45.12,-74.05,,31,0.001,0.024
STE ANNE DE BELLEVUE,7026839,45.43,-73.93,,27,0.001,0.555
STE CLOTHILDE CDA,7027040,45.17,-73.68,,13,NaN,NaN
STE DOROTHEE,7027110,45.52,-73.78,,10,NaN,NaN
STE EDWIDGE,7027120,45.2,-71.68,,16,0.002,0.099
ST EPHREM,7027200,46.07,-70.97,,30,0.001,0.149
ST FERDINAND,7027248,46.1,-71.58,,23,0.002,0.945
ST FLAVIEN,7027259,46.48,-71.57,,11,NaN,NaN
ST GEORGES,7027283,46.15,-70.7,,26,0.001,0.313
ST GUILLAUME,7027302,45.88,-72.77,,24,0.001,0.355
MONTREAL ST-HUBERT A,7027320,45.52,-73.42,,29,0.001,0.469
ST ISIDORE D'AUCKLAND,7027372,45.27,-71.52,,16,0.038,0.182
STE MADELEINE,7027517,45.62,-73.13,,15,0.001,0.243
ST PIERRE DE BROUGHTON,7027656,46.25,-71.22,,26,0.001,0.472
ST SEBASTIEN,7027725,45.77,-70.95,,26,0.001,0.253
ST THEOPHILE,7027750,45.93,-70.48,,27,0.001,0.063
ST ZACHARIE,7027785,46.12,-70.38,,20,0.001,0.417
SAWYERVILLE NORD,7027802,45.37,-71.53,,30,0.001,0.944
SHERBROOKE,7028120,45.4,-71.9,,12,NaN,NaN
SHERBROOKE A,7028124,45.43,-71.68,,32,0.001,0.377
THETFORD MINES,7028441,46.1,-71.35,,30,0.001,0.743
VALLEE JONCTION,7028676,46.38,-70.93,,30,0.001,0.26
VALLEYFIELD,7028680,45.28,-74.1,,12,NaN,NaN
