Year,5min,10min,15min,30min,1h,2h,6h,12h,24h
1974,106.80000000000001,78.0,65.2,53.8,27.4,15.0,7.233333333333333,4.675,2.3833333333333333
1975,106.80000000000001,99.0,72.0,40.6,20.3,11.3,6.3999999999999995,3.983333333333333,2.0208333333333335
1976,100.80000000000001,87.0,71.2,42.6,21.3,10.65,3.8166666666666664,2.7083333333333335,1.7666666666666666
1977,136.8,112.80000000000001,112.8,61.4,33.3,16.65,7.3999999999999995,4.108333333333333,2.0541666666666667
1978,82.80000000000001,78.0,60.4,33.2,17.3,9.35,4.25,2.4166666666666665,1.6083333333333334
1979,138.0,120.0,114.0,80.0,40.1,20.05,6.683333333333334,3.341666666666667,1.825
1980,122.39999999999999,110.39999999999999,85.6,56.4,36.3,33.45,15.466666666666667,8.483333333333333,4.995833333333334
1982,61.199999999999996,60.6,56.4,52.6,37.4,22.85,9.483333333333333,4.758333333333334,2.379166666666667
1983,144.0,81.0,71.6,57.0,29.3,14.8,4.933333333333334,2.5,1.4166666666666667
1984,72.0,60.6,55.2,36.6,18.7,9.6,3.216666666666667,2.2333333333333334,1.4166666666666667
1985,140.4,107.39999999999999,84.8,53.0,26.8,16.75,6.066666666666666,3.375,1.6875
1986,169.20000000000002,121.2,105.2,60.2,30.5,23.85,11.466666666666667,5.966666666666666,3.0
1987,154.8,121.2,96.8,71.2,35.8,17.9,6.2,3.1,1.7249999999999999
1988,94.80000000000001,94.2,93.2,58.6,29.4,14.7,5.133333333333334,2.566666666666667,1.3499999999999999
1989,157.20000000000002,123.0,85.6,43.4,21.7,10.9,4.516666666666667,2.275,1.7666666666666666
1990,88.80000000000001,69.60000000000001,53.6,31.6,25.3,12.85,4.283333333333333,2.433333333333333,1.8416666666666668
1991,105.60000000000001,75.0,66.0,38.0,19.0,11.85,6.916666666666667,3.6916666666666664,1.8458333333333332
1992,121.2,67.2,54.0,33.4,20.9,15.55,6.816666666666666,3.5500000000000003,2.4166666666666665
1993,76.80000000000001,49.800000000000004,46.0,35.0,22.0,16.4,6.2,3.1999999999999997,1.9875
1994,106.80000000000001,60.0,48.0,39.0,22.9,12.35,4.633333333333334,2.4,1.6291666666666667
1995,160.8,116.39999999999999,82.8,57.6,32.3,16.25,10.200000000000001,6.291666666666667,3.283333333333333
1996,64.80000000000001,41.400000000000006,33.2,25.8,15.5,7.85,5.183333333333334,4.941666666666666,2.775
1997,61.199999999999996,37.2,30.0,18.0,12.6,9.45,3.6666666666666665,2.25,1.3625
1998,84.0,83.4,67.2,41.2,21.2,10.6,3.533333333333333,2.6750000000000003,1.8375000000000001
1999,80.4,60.6,46.4,27.6,18.0,12.6,6.233333333333333,3.6916666666666664,2.183333333333333
2000,93.60000000000001,81.60000000000001,62.4,34.8,21.8,13.5,7.333333333333333,3.6666666666666665,2.475
2001,39.6,31.200000000000003,28.0,17.0,9.3,6.25,3.466666666666667,2.4499999999999997,1.6875
2002,54.0,39.6,30.4,21.0,12.4,6.8,3.8166666666666664,2.4166666666666665,1.2083333333333333
2003,90.0,69.0,59.2,34.2,23.4,12.3,4.833333333333333,2.875,1.4458333333333335
2004,90.0,72.0,60.4,52.6,30.8,15.4,5.133333333333334,2.566666666666667,1.3333333333333333
2006,82.80000000000001,55.800000000000004,40.8,24.0,12.5,6.75,4.883333333333334,2.9166666666666665,1.5083333333333335
2007,97.2,57.6,47.2,36.0,18.6,10.5,5.566666666666666,3.4499999999999997,1.9416666666666667
2008,97.2,72.60000000000001,57.6,35.4,26.9,14.45,4.816666666666666,3.5500000000000003,2.8833333333333333
2009,121.2,109.2,82.4,48.6,27.6,13.8,4.666666666666667,3.3333333333333335,1.7041666666666666
2010,93.60000000000001,75.60000000000001,65.2,51.8,37.3,23.8,8.866666666666667,4.433333333333334,2.216666666666667
2011,94.80000000000001,60.6,48.0,26.0,14.7,9.6,3.8000000000000003,3.3666666666666667,2.129166666666667
2012,170.4,111.0,85.2,55.4,30.5,17.7,6.966666666666666,3.5749999999999997,1.8291666666666666
2013,175.20000000000002,130.8,112.8,99.8,78.6,50.85,20.933333333333334,10.5,5.270833333333333
2014,64.80000000000001,42.6,35.2,23.0,14.9,9.6,4.25,2.841666666666667,1.45
2015,86.4,62.400000000000006,54.0,36.0,19.7,10.25,5.866666666666667,2.983333333333333,1.7083333333333333
2016,86.4,66.60000000000001,66.0,41.0,25.4,13.35,5.483333333333333,2.975,1.4875
2017,96.0,72.60000000000001,50.4,28.8,24.7,14.35,5.3999999999999995,3.0749999999999997,1.8625
